Fecha,Ruta,Kms,Tiempo,vel_media_kms_h,,
01 03 25,2025-01-03Ride,6.96,00:28:36,14.91,,
01 03 25,Fuentes Brotantes - Pedrink Cycling Club,47.82,02:26:37,19.65,,
01 04 25,Evening Ride,1.56,00:09:00,10.4,,
01 04 25,Afternoon Ride,10.48,00:53:00,11.86,,
01 07 25,Afternoon Ride,3.7,00:13:00,17.08,,
01 08 25,Rosca de Reyes - Chayito Baikers,10.12,00:42:00,14.46,,
01 09 25,Rosca de Reyes - Team Taquitos,19.44,00:57:00,20.46,,
01 10 25,Castillo de Longford - Pedrink Cycling Club,52.52,02:37:00,20.07,,
01 11 25,Barrio Chino - Freebikes,23.42,01:33:00,15.11,,
01 12 25,Evening Ride,5.69,00:28:00,12.19,,
01 14 25,Evening Ride,2.94,00:17:00,10.38,,
01 14 25,2025-01-14Ride,19.6,01:21:00,14.52,,
01 15 25,Parque Oaxaca (taller de lavado) - Chayito Baikers,27.5,01:38:00,16.84,,
01 15 25,2025-01-15Ride,29.13,01:27:00,20.09,,
01 17 25,Zoológico de Aragón - MICiclistas,32.01,02:36:00,12.31,,Promedio 17.22 kms/h
01 18 25,Monumento a la enfermera - Freebikes,25.81,01:31:00,17.02,,Mediana 17.99 kms/h
01 19 25,Afternoon Ride,3.55,00:21:00,10.14,,M�xima 30 kms/h
01 19 25,Paseo Dominical completo (por cada ruta alterna que hay).,65.65,03:14:00,20.3,,M�nima 3.88 kms/h
01 22 25,2025-01-21Ride,11.35,00:32:00,21.28,,
01 23 25,Rodada NFL - Team Taquitos,31.7,01:35:00,20.02,,
01 24 25,Alberca Olímpica - MICiclistas,43.99,04:51:00,9.07,,
01 25 25,2025-01-25Ride,6.75,00:22:00,18.41,,
01 25 25,2025-01-25Ride,13.78,00:44:00,18.79,,
01 26 25,Afternoon Ride,2.74,00:15:00,10.96,,
01 28 25,Afternoon Ride,5.11,00:27:00,11.36,,
01 28 25,Ciudad Deportiva - Pedrink Cycling Club,29.97,01:25:00,21.16,,
01 29 25,2025-01-29Ride,19.84,01:04:00,18.6,,
01 30 25,Evening Ride,4.77,00:22:00,13.01,,
01 30 25,2025-01-30Ride,22,01:09:00,19.13,,
01 30 25,Cablebús - Team Taquitos,32.31,02:00:00,16.16,,
01 31 25,2025-01-30Ride,2.05,00:07:00,17.57,,
01 31 25,2025-01-31Ride,4.01,00:11:00,21.87,,
01 31 25,Intergrupal de aniversario 3 MICiclistas,18.5,01:01:00,18.2,,
02 01 25,"Restaurante Empireo, Edo Mex - Pedrink Cycling Club",93.68,05:24:00,17.35,,
02 05 25,Afternoon Ride,3.98,00:16:00,14.93,,
02 06 25,Tepepan - Team Taquitos,54.14,02:25:00,22.4,,
02 07 25,Museo Anahuacalli - MICiclistas,42.71,02:18:00,18.57,,
02 08 25,Night Ride,60.05,02:32:00,23.7,,
02 08 25,Museo Dolores Olmedo - Freebikes,60.9,02:44:00,22.28,,
02 12 25,Morning Ride,1.67,00:08:00,12.53,,
02 12 25,Rodada del amor de Chayito Baikers - Pedrink Cycling Club,31.11,01:46:00,17.61,,
02 13 25,2025-02-13Ride,6.2,00:25:00,14.88,,
02 13 25,Rodada del Amortz - Team Taquitos,40.4,02:02:00,19.87,,
02 14 25,Callejón del Beso - MICiclistas,23.21,01:17:00,18.09,,
02 15 25,Afternoon Ride,2.03,00:12:00,10.15,,
02 15 25,Zócalo. Rodada de la amistad - Freebikes,25.49,01:51:00,13.78,,
02 16 25,Parque Ecológico de Texcoco con KaxaBike - Pedrink Cycling Club,107.76,04:49:00,22.37,,
02 17 25,Night Ride,2.97,00:08:00,22.28,,
02 17 25,Evening Ride,4.15,00:18:00,13.83,,
02 19 25,Evening Ride,8.29,00:33:00,15.07,,
02 20 25,Afternoon Ride,2.65,00:09:00,17.67,,
02 20 25,Evening Ride,8.33,00:25:00,19.99,,
02 20 25,Nezahualcóyotl y Chimalhuacán - Team Taquitos,62.38,03:02:00,20.56,,
02 21 25,Evening Ride,1.83,00:12:00,9.15,,
02 21 25,Caracol Oriente - MICiclistas,22.1,01:17:00,17.22,,
02 22 25,#NoMásMuertesViales,5,00:41:00,7.32,,
02 23 25,Ciclotón de febrero - Team Taquitos,50.8,02:19:00,21.93,,
02 25 25,Afternoon Ride,4.79,00:27:00,10.64,,
02 26 25,Bandera monumental de San Gerónimo - Chayito Baikers,42.54,02:05:00,20.42,,
02 27 25,Lunch Ride,2.93,00:14:00,12.56,,
02 28 25,Cementerio de aviones - Pedrink Cycling Club,32.96,01:32:00,21.5,,
03 01 25,Pre-foro Azcapotzalco en bici,6.21,00:22:00,16.94,,
03 02 25,Mitad de Paseo Dominical (parte 1),19.97,01:03:00,19.02,,
03 02 25,Mitad del Paseo Dominical (parte 2) y CU,35.24,02:34:00,13.73,,
03 03 25,Evening Ride,8.22,00:38:00,12.98,,
03 04 25,4o aniversario de Roma Bikers Cycling,28.77,01:29:00,19.4,,
03 05 25,2025-03-04Ride,25.47,01:48:00,14.15,,
03 05 25,Rodada 8M - Chayito Baikers,36.79,03:35:00,10.27,,
03 07 25,Rodada 8M ♀️- MICiclistas,26.08,01:28:00,17.78,,
03 08 25,Rodada 8M - Freebikes,19.05,01:15:00,15.24,,
03 08 25,Fierro de Toro/Tres Marías - Husky Bikers/Team Taquitos,129.62,07:27:00,17.4,,
03 09 25,Afternoon Ride,3.76,00:22:00,10.25,,
03 11 25,Afternoon Ride,7.73,00:31:00,14.96,,
03 12 25,2025-03-11Ride,0.31,00:04:00,4.65,,
03 12 25,Museo del Transporte Eléctrico - Chayito Baikers,33.07,01:50:00,18.04,,
03 13 25,"Cerro de Moctezuma, Aniversario de Huskys Bikers - Team Taquitos",38.05,02:04:00,18.41,,
03 14 25,Morning Ride,1.96,00:14:00,8.4,,
03 14 25,Lunch Ride,2.62,00:10:00,15.72,,
03 14 25,Bandera San Gerónimo - MICiclistas,38.03,01:57:00,19.5,,
03 15 25,Acropolis - Pedrink Cycling Club,30.73,01:41:00,18.26,,
03 18 25,Evening Ride,7.68,00:19:00,24.25,,
03 18 25,Parque Huei Tochiuitl - Roma Bikers Cycling,32.11,01:22:00,23.5,,
03 19 25,Línea 7 del Metro - Chayito Baikers,42.64,02:09:00,19.83,,
03 20 25,Afternoon Ride,2.55,00:09:00,17,,
03 20 25,Parque Triángulos - Team Taquitos,70.71,03:41:00,19.2,,
03 21 25,Museo de Pedro Infante - MICiclistas,45.05,04:13:00,10.68,,
03 22 25,Lunch Ride,13.35,00:51:00,15.71,,
03 23 25,"La Purificación, Texcoco - Freebikes",63.04,02:30:00,25.22,,
03 26 25,Evening Ride,10.16,00:32:00,19.05,,
03 28 25,Evening Ride,1.32,00:06:00,13.2,,
03 28 25,Mansión de Ignacio Holtz - MICiclistas,27.02,01:34:00,17.25,,
03 29 25,2025-03-29Ride,4.14,00:13:00,19.11,,
03 29 25,La Mexicana - Freebikes,51.16,03:24:00,15.05,,
03 30 25,2025-03-30Ride,0.2,00:01:00,12,,
03 30 25,Paseo Nocturno,22.92,02:28:00,9.29,,
03 30 25,Flextival,42.75,03:29:00,12.27,,
04 02 25,Afternoon Ride,1.23,00:05:00,14.76,,
04 02 25,Lunch Ride,2.22,00:10:00,13.32,,
04 02 25,Morning Ride,3.35,00:14:00,14.36,,
04 03 25,Parque Barranca del Muerto - Team Taquitos,62.26,03:56:00,15.83,,
04 04 25,Afternoon Ride,1.44,00:07:00,12.34,,
04 04 25,Afternoon Ride,1.89,00:07:00,16.2,,
04 04 25,Evening Ride,2.53,00:11:00,13.8,,
04 04 25,Pirámide de Pemex - MICiclistas,47.06,02:40:00,17.65,,
04 05 25,David de Miguel Angel - Freebikes,56.45,03:07:00,18.11,,
04 09 25,Barco Utopía - Pedrink Cycling Club,45.07,02:13:00,20.33,,
04 10 25,Museo del Transporte Eléctrico - Team Taquitos,37.68,02:34:00,14.68,,
04 11 25,Glorieta del Obelisco - MICiclistas,62.47,03:27:00,18.11,,
04 13 25,2025-04-13Ride,35.81,01:45:00,20.46,,
04 15 25,Tulyehualco - Fenix Bikers,79.49,03:57:00,20.12,,
04 16 25,Granja Las Américas - Aztecas,32.2,01:37:00,19.92,,
04 17 25,Ruta de aviones Utopía - Team Taquitos,56.04,02:38:00,21.28,,
04 18 25,Centro de Tlalpan - PCC (cancelada),52.35,03:02:00,17.26,,
04 19 25,Mirador de San Pablo Ixayoc - PCC,101.73,05:25:00,18.78,,
04 24 25,Afternoon Ride,12.76,00:49:00,15.62,,
04 24 25,Timoteos - Team Taquitos,75.61,04:03:00,18.67,,
04 25 25,Evening Ride,7.47,00:46:00,9.74,,
04 26 25,Rally día del niño - Freebikes,27.22,02:49:00,9.66,,
04 26 25,Cerro de la Estrella - Pedrink Cycling Club,49.58,02:45:00,18.03,,
04 30 25,Rodada masiva - Chayito Baikers,43.13,03:33:00,12.15,,
05 01 25,Morning Ride,18.15,01:50:00,9.9,,
05 01 25,Día del niño - Team Taquitos,78.28,05:02:00,15.55,,
05 02 25,Monumento a El Caminero - MICiclistas,63.81,04:04:00,15.69,,
05 07 25,Aniversario de Chayito Baikers,38.98,03:40:00,10.63,,
05 08 25,Lunch Ride,1.45,00:05:00,17.4,,
05 08 25,Afternoon Ride,10.03,01:00:00,10.03,,
05 08 25,Morning Ride,12.85,00:37:00,20.84,,
05 08 25,Parque CRI CRI - Pedrink Cycling Club,34.74,01:49:00,19.12,,
05 09 25,Evening Ride,10.79,00:36:00,17.98,,
05 09 25,GTBC México - MICiclistas,41.48,02:23:00,17.4,,
05 10 25,Monumento a la Madre - Freebikes,32.54,03:08:00,10.39,,
05 13 25,Trazo de la ruta randonautica,20.15,01:48:00,11.19,,
05 13 25,Lunch Ride,20.65,01:27:00,14.24,,
05 14 25,Evening Ride,2.27,00:11:00,12.38,,
05 14 25,El Vigilante - Aztecas,35.18,01:45:00,20.1,,
05 15 25,Evening Ride - PCC,19.61,01:59:00,9.89,,
05 15 25,Lunch Ride,22.4,01:59:00,11.29,,
