Fecha,Mes,sesiones,kms_totales,minutos_totales,vel_media_kmh
01 03 25,Enero,2,54.78,174,17.28
01 04 25,Enero,2,12.04,62,11.13
01 07 25,Enero,1,3.7,13,17.08
01 08 25,Enero,1,10.12,42,14.46
01 09 25,Enero,1,19.44,57,20.46
01 10 25,Enero,1,52.52,157,20.07
01 11 25,Enero,1,23.42,93,15.11
01 12 25,Enero,1,5.69,28,12.19
01 14 25,Enero,2,22.54,98,12.45
01 15 25,Enero,2,56.63,185,18.46
01 17 25,Enero,1,32.01,156,12.31
01 18 25,Enero,1,25.81,91,17.02
01 19 25,Enero,2,69.2,215,15.22
01 22 25,Enero,1,11.35,32,21.28
01 23 25,Enero,1,31.7,95,20.02
01 24 25,Enero,1,43.99,291,9.07
01 25 25,Enero,2,20.53,66,18.6
01 26 25,Enero,1,2.74,15,10.96
01 28 25,Enero,2,35.08,112,16.26
01 29 25,Enero,1,19.84,64,18.6
01 30 25,Enero,3,59.08,211,16.1
01 31 25,Enero,3,24.56,79,19.21
02 01 25,Febrero,1,93.68,324,17.35
02 05 25,Febrero,1,3.98,16,14.93
02 06 25,Febrero,1,54.14,145,22.4
02 07 25,Febrero,1,42.71,138,18.57
02 08 25,Febrero,2,120.95,316,22.99
02 12 25,Febrero,2,32.78,114,15.07
02 13 25,Febrero,2,46.6,147,17.37
02 14 25,Febrero,1,23.21,77,18.09
02 15 25,Febrero,2,27.52,123,11.96
02 16 25,Febrero,1,107.76,289,22.37
02 17 25,Febrero,2,7.12,26,18.05
02 19 25,Febrero,1,8.29,33,15.07
02 20 25,Febrero,3,73.36,216,19.41
02 21 25,Febrero,2,23.93,89,13.19
02 22 25,Febrero,1,5.0,41,7.32
02 23 25,Febrero,1,50.8,139,21.93
02 25 25,Febrero,1,4.79,27,10.64
02 26 25,Febrero,1,42.54,125,20.42
02 27 25,Febrero,1,2.93,14,12.56
02 28 25,Febrero,1,32.96,92,21.5
03 01 25,Marzo,1,6.21,22,16.94
03 02 25,Marzo,2,55.21,217,16.37
03 03 25,Marzo,1,8.22,38,12.98
03 04 25,Marzo,1,28.77,89,19.4
03 05 25,Marzo,2,62.26,323,12.21
03 07 25,Marzo,1,26.08,88,17.78
03 08 25,Marzo,2,148.67,522,16.32
03 09 25,Marzo,1,3.76,22,10.25
03 11 25,Marzo,1,7.73,31,14.96
03 12 25,Marzo,3,33.38,116,7.56
03 13 25,Marzo,1,38.05,124,18.41
03 14 25,Marzo,3,42.61,141,14.54
03 15 25,Marzo,1,30.73,101,18.26
03 18 25,Marzo,2,39.79,101,23.87
03 19 25,Marzo,1,42.64,129,19.83
03 20 25,Marzo,2,73.26,230,18.1
03 21 25,Marzo,1,45.05,253,10.68
03 22 25,Marzo,1,13.35,51,15.71
